model,question_id,turn,category,judge_template,gpt4_score,mini_score,nano_score
qwen3-4b-base,149,1,stem,single-v1,10.0,8,8
qwen3-4b-base,150,1,stem,single-v1,1.0,1,1
qwen3-4b-base,151,1,humanities,single-v1,9.0,5,3
qwen3-4b-base,152,1,humanities,single-v1,1.0,1,1
qwen3-4b-base,153,1,humanities,single-v1,8.0,6,5
qwen3-4b-base,154,1,humanities,single-v1,10.0,5,6
qwen3-4b-base,155,1,humanities,single-v1,6.0,6,6
qwen3-4b-base,156,1,humanities,single-v1,10.0,6,6
qwen3-4b-base,157,1,humanities,single-v1,10.0,8,8
qwen3-4b-base,158,1,humanities,single-v1,10.0,7,7
qwen3-4b-base,159,1,humanities,single-v1,10.0,7,7
qwen3-4b-base,160,1,humanities,single-v1,10.0,8,8
qwen3-4b-base,101,1,reasoning,single-math-v1,9.0,6,7
qwen3-4b-base,102,1,reasoning,single-math-v1,1.0,1,1
qwen3-4b-base,103,1,reasoning,single-math-v1,1.0,1,1
qwen3-4b-base,104,1,reasoning,single-math-v1,10.0,9,10
qwen3-4b-base,105,1,reasoning,single-math-v1,1.0,2,2
qwen3-4b-base,106,1,reasoning,single-math-v1,8.0,10,9
qwen3-4b-base,107,1,reasoning,single-math-v1,1.0,3,1
qwen3-4b-base,108,1,reasoning,single-math-v1,1.0,6,3
qwen3-4b-base,109,1,reasoning,single-math-v1,10.0,10,10
qwen3-4b-base,110,1,reasoning,single-math-v1,10.0,10,9
qwen3-4b-base,111,1,math,single-math-v1,2.0,9,9
qwen3-4b-base,112,1,math,single-math-v1,10.0,10,10
qwen3-4b-base,113,1,math,single-math-v1,10.0,10,10
qwen3-4b-base,114,1,math,single-math-v1,3.0,7,3
qwen3-4b-base,115,1,math,single-math-v1,10.0,10,10
qwen3-4b-base,116,1,math,single-math-v1,10.0,10,10
qwen3-4b-base,117,1,math,single-math-v1,10.0,10,10
qwen3-4b-base,118,1,math,single-math-v1,9.0,10,10
qwen3-4b-base,119,1,math,single-math-v1,10.0,10,10
qwen3-4b-base,120,1,math,single-math-v1,10.0,10,10
qwen3-4b-base,121,1,coding,single-math-v1,9.0,6,5
qwen3-4b-base,122,1,coding,single-math-v1,9.0,8,9
qwen3-4b-base,123,1,coding,single-math-v1,10.0,9,8
qwen3-4b-base,124,1,coding,single-math-v1,10.0,10,10
qwen3-4b-base,125,1,coding,single-math-v1,2.0,4,2
qwen3-4b-base,126,1,coding,single-math-v1,1.0,1,1
qwen3-4b-base,127,1,coding,single-math-v1,1.0,2,1
qwen3-4b-base,128,1,coding,single-math-v1,1.0,1,1
qwen3-4b-base,129,1,coding,single-math-v1,1.0,1,1
qwen3-4b-base,130,1,coding,single-math-v1,1.0,1,1
qwen3-4b-base,81,2,writing,single-v1-multi-turn,8.0,6,4
qwen3-4b-base,82,2,writing,single-v1-multi-turn,9.0,7,7
qwen3-4b-base,83,2,writing,single-v1-multi-turn,6.0,4,2
qwen3-4b-base,84,2,writing,single-v1-multi-turn,10.0,5,6
qwen3-4b-base,85,2,writing,single-v1-multi-turn,10.0,7,7
qwen3-4b-base,88,2,writing,single-v1-multi-turn,2.0,2,1
qwen3-4b-base,89,2,writing,single-v1-multi-turn,7.0,4,2
qwen3-4b-base,90,2,writing,single-v1-multi-turn,1.0,4,6
qwen3-4b-base,91,2,roleplay,single-v1-multi-turn,4.0,3,2
qwen3-4b-base,92,2,roleplay,single-v1-multi-turn,1.0,1,1
qwen3-4b-base,94,2,roleplay,single-v1-multi-turn,2.0,3,2
qwen3-4b-base,95,2,roleplay,single-v1-multi-turn,1.0,1,2
qwen3-4b-base,99,2,roleplay,single-v1-multi-turn,4.0,3,1
qwen3-4b-base,131,2,extraction,single-v1-multi-turn,9.0,8,9
qwen3-4b-base,132,2,extraction,single-v1-multi-turn,1.0,1,1
qwen3-4b-base,133,2,extraction,single-v1-multi-turn,2.0,5,2
qwen3-4b-base,134,2,extraction,single-v1-multi-turn,10.0,9,9
qwen3-4b-base,135,2,extraction,single-v1-multi-turn,10.0,7,8
qwen3-4b-base,136,2,extraction,single-v1-multi-turn,10.0,2,2
qwen3-4b-base,137,2,extraction,single-v1-multi-turn,8.0,4,3
qwen3-4b-base,139,2,extraction,single-v1-multi-turn,1.0,4,2
qwen3-4b-base,140,2,extraction,single-v1-multi-turn,9.0,3,2
qwen3-4b-base,142,2,stem,single-v1-multi-turn,1.0,1,1
qwen3-4b-base,143,2,stem,single-v1-multi-turn,9.0,3,2
qwen3-4b-base,144,2,stem,single-v1-multi-turn,1.0,6,3
qwen3-4b-base,145,2,stem,single-v1-multi-turn,7.0,4,3
qwen3-4b-base,147,2,stem,single-v1-multi-turn,7.0,3,3
qwen3-4b-base,149,2,stem,single-v1-multi-turn,8.0,7,4
qwen3-4b-base,150,2,stem,single-v1-multi-turn,10.0,4,6
qwen3-4b-base,151,2,humanities,single-v1-multi-turn,10.0,8,8
qwen3-4b-base,154,2,humanities,single-v1-multi-turn,9.0,4,6
qwen3-4b-base,155,2,humanities,single-v1-multi-turn,1.0,1,1
qwen3-4b-base,156,2,humanities,single-v1-multi-turn,1.0,1,1
qwen3-4b-base,157,2,humanities,single-v1-multi-turn,10.0,7,7
qwen3-4b-base,160,2,humanities,single-v1-multi-turn,1.0,1,2
qwen3-4b-base,101,2,reasoning,single-math-v1-multi-turn,3.0,3,2
qwen3-4b-base,102,2,reasoning,single-math-v1-multi-turn,8.0,7,9
qwen3-4b-base,103,2,reasoning,single-math-v1-multi-turn,7.0,8,6
qwen3-4b-base,104,2,reasoning,single-math-v1-multi-turn,10.0,8,9
qwen3-4b-base,105,2,reasoning,single-math-v1-multi-turn,2.0,1,1
qwen3-4b-base,106,2,reasoning,single-math-v1-multi-turn,1.0,1,1
qwen3-4b-base,107,2,reasoning,single-math-v1-multi-turn,9.0,9,10
qwen3-4b-base,108,2,reasoning,single-math-v1-multi-turn,8.0,7,8
qwen3-4b-base,109,2,reasoning,single-math-v1-multi-turn,1.0,2,3
qwen3-4b-base,110,2,reasoning,single-math-v1-multi-turn,7.0,6,2
qwen3-4b-base,111,2,math,single-math-v1-multi-turn,1.0,1,3
qwen3-4b-base,112,2,math,single-math-v1-multi-turn,9.0,8,9
qwen3-4b-base,113,2,math,single-math-v1-multi-turn,1.0,2,1
qwen3-4b-base,114,2,math,single-math-v1-multi-turn,1.0,1,1
qwen3-4b-base,115,2,math,single-math-v1-multi-turn,3.0,3,3
qwen3-4b-base,116,2,math,single-math-v1-multi-turn,1.0,1,1
qwen3-4b-base,117,2,math,single-math-v1-multi-turn,2.0,7,6
qwen3-4b-base,118,2,math,single-math-v1-multi-turn,10.0,10,10
qwen3-4b-base,119,2,math,single-math-v1-multi-turn,10.0,9,10
qwen3-4b-base,120,2,math,single-math-v1-multi-turn,2.0,7,7
qwen3-4b-base,121,2,coding,single-math-v1-multi-turn,8.0,7,5
qwen3-4b-base,122,2,coding,single-math-v1-multi-turn,2.0,3,2
qwen3-4b-base,123,2,coding,single-math-v1-multi-turn,8.0,7,8
qwen3-4b-base,124,2,coding,single-math-v1-multi-turn,2.0,4,2
qwen3-4b-base,125,2,coding,single-math-v1-multi-turn,2.0,4,2
qwen3-4b-base,126,2,coding,single-math-v1-multi-turn,9.0,4,2
qwen3-4b-base,127,2,coding,single-math-v1-multi-turn,2.0,3,2
qwen3-4b-base,128,2,coding,single-math-v1-multi-turn,1.0,2,1
qwen3-4b-base,129,2,coding,single-math-v1-multi-turn,3.0,4,2
qwen3-4b-base,130,2,coding,single-math-v1-multi-turn,8.0,8,9
qwen3-4b-instruct-2507,81,1,writing,single-v1,9.5,7,6
qwen3-4b-instruct-2507,82,1,writing,single-v1,10.0,9,9
qwen3-4b-instruct-2507,83,1,writing,single-v1,10.0,6,6
qwen3-4b-instruct-2507,84,1,writing,single-v1,10.0,8,8
qwen3-4b-instruct-2507,85,1,writing,single-v1,10.0,9,9
qwen3-4b-instruct-2507,86,1,writing,single-v1,10.0,8,9
qwen3-4b-instruct-2507,87,1,writing,single-v1,10.0,9,8
qwen3-4b-instruct-2507,88,1,writing,single-v1,10.0,9,9
qwen3-4b-instruct-2507,89,1,writing,single-v1,10.0,8,8
qwen3-4b-instruct-2507,90,1,writing,single-v1,10.0,9,9
qwen3-4b-instruct-2507,91,1,roleplay,single-v1,10.0,7,6
qwen3-4b-instruct-2507,92,1,roleplay,single-v1,8.0,8,7
qwen3-4b-instruct-2507,93,1,roleplay,single-v1,8.5,5,4
qwen3-4b-instruct-2507,94,1,roleplay,single-v1,10.0,8,8
qwen3-4b-instruct-2507,95,1,roleplay,single-v1,10.0,8,8
qwen3-4b-instruct-2507,96,1,roleplay,single-v1,10.0,8,7
qwen3-4b-instruct-2507,97,1,roleplay,single-v1,10.0,9,9
qwen3-4b-instruct-2507,98,1,roleplay,single-v1,9.0,7,8
qwen3-4b-instruct-2507,99,1,roleplay,single-v1,10.0,9,9
qwen3-4b-instruct-2507,100,1,roleplay,single-v1,9.0,8,9
qwen3-4b-instruct-2507,131,1,extraction,single-v1,10.0,10,10
qwen3-4b-instruct-2507,132,1,extraction,single-v1,10.0,10,8
qwen3-4b-instruct-2507,133,1,extraction,single-v1,4.0,6,6
qwen3-4b-instruct-2507,134,1,extraction,single-v1,10.0,10,10
qwen3-4b-instruct-2507,135,1,extraction,single-v1,10.0,8,8
qwen3-4b-instruct-2507,136,1,extraction,single-v1,10.0,8,9
qwen3-4b-instruct-2507,137,1,extraction,single-v1,10.0,9,8
qwen3-4b-instruct-2507,138,1,extraction,single-v1,6.0,8,8
qwen3-4b-instruct-2507,139,1,extraction,single-v1,7.0,4,3
qwen3-4b-instruct-2507,140,1,extraction,single-v1,9.0,10,9
qwen3-4b-instruct-2507,141,1,stem,single-v1,10.0,8,8
qwen3-4b-instruct-2507,142,1,stem,single-v1,8.5,7,7
qwen3-4b-instruct-2507,143,1,stem,single-v1,10.0,9,9
qwen3-4b-instruct-2507,144,1,stem,single-v1,10.0,8,8
qwen3-4b-instruct-2507,145,1,stem,single-v1,10.0,9,9
qwen3-4b-instruct-2507,146,1,stem,single-v1,10.0,9,9
qwen3-4b-instruct-2507,147,1,stem,single-v1,10.0,8,8
qwen3-4b-instruct-2507,148,1,stem,single-v1,10.0,8,7
qwen3-4b-instruct-2507,149,1,stem,single-v1,9.5,9,8
qwen3-4b-instruct-2507,150,1,stem,single-v1,10.0,8,8
qwen3-4b-instruct-2507,151,1,humanities,single-v1,9.0,8,7
qwen3-4b-instruct-2507,152,1,humanities,single-v1,10.0,8,8
qwen3-4b-instruct-2507,153,1,humanities,single-v1,8.5,7,4
qwen3-4b-instruct-2507,154,1,humanities,single-v1,9.0,7,3
qwen3-4b-instruct-2507,155,1,humanities,single-v1,10.0,8,8
qwen3-4b-instruct-2507,156,1,humanities,single-v1,10.0,7,7
qwen3-4b-instruct-2507,157,1,humanities,single-v1,10.0,8,8
qwen3-4b-instruct-2507,158,1,humanities,single-v1,10.0,8,8
qwen3-4b-instruct-2507,159,1,humanities,single-v1,10.0,7,8
qwen3-4b-instruct-2507,160,1,humanities,single-v1,10.0,8,9
qwen3-4b-instruct-2507,101,1,reasoning,single-math-v1,10.0,9,10
qwen3-4b-instruct-2507,102,1,reasoning,single-math-v1,10.0,8,7
qwen3-4b-instruct-2507,103,1,reasoning,single-math-v1,10.0,6,6
qwen3-4b-instruct-2507,104,1,reasoning,single-math-v1,2.0,2,8
qwen3-4b-instruct-2507,105,1,reasoning,single-math-v1,6.0,3,2
qwen3-4b-instruct-2507,106,1,reasoning,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,107,1,reasoning,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,108,1,reasoning,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,109,1,reasoning,single-math-v1,9.0,8,8
qwen3-4b-instruct-2507,110,1,reasoning,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,111,1,math,single-math-v1,1.0,6,9
qwen3-4b-instruct-2507,112,1,math,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,113,1,math,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,114,1,math,single-math-v1,8.0,9,2
qwen3-4b-instruct-2507,115,1,math,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,116,1,math,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,117,1,math,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,118,1,math,single-math-v1,9.0,9,9
qwen3-4b-instruct-2507,119,1,math,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,120,1,math,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,121,1,coding,single-math-v1,9.0,9,8
qwen3-4b-instruct-2507,122,1,coding,single-math-v1,9.0,9,9
qwen3-4b-instruct-2507,123,1,coding,single-math-v1,9.0,9,9
qwen3-4b-instruct-2507,124,1,coding,single-math-v1,10.0,10,10
qwen3-4b-instruct-2507,125,1,coding,single-math-v1,1.0,4,2
qwen3-4b-instruct-2507,126,1,coding,single-math-v1,10.0,7,7
qwen3-4b-instruct-2507,127,1,coding,single-math-v1,9.0,8,9
qwen3-4b-instruct-2507,128,1,coding,single-math-v1,9.0,8,4
qwen3-4b-instruct-2507,129,1,coding,single-math-v1,6.0,2,2
qwen3-4b-instruct-2507,130,1,coding,single-math-v1,2.0,3,2
qwen3-4b-instruct-2507,82,2,writing,single-v1-multi-turn,10.0,8,8
qwen3-4b-instruct-2507,85,2,writing,single-v1-multi-turn,10.0,7,8
qwen3-4b-instruct-2507,87,2,writing,single-v1-multi-turn,10.0,8,8
qwen3-4b-instruct-2507,88,2,writing,single-v1-multi-turn,6.0,5,4
qwen3-4b-instruct-2507,89,2,writing,single-v1-multi-turn,10.0,6,4
qwen3-4b-instruct-2507,90,2,writing,single-v1-multi-turn,9.0,7,8
qwen3-4b-instruct-2507,94,2,roleplay,single-v1-multi-turn,9.0,8,8
qwen3-4b-instruct-2507,95,2,roleplay,single-v1-multi-turn,10.0,7,8
qwen3-4b-instruct-2507,96,2,roleplay,single-v1-multi-turn,10.0,7,6
qwen3-4b-instruct-2507,99,2,roleplay,single-v1-multi-turn,10.0,8,7
qwen3-4b-instruct-2507,131,2,extraction,single-v1-multi-turn,10.0,8,9
qwen3-4b-instruct-2507,132,2,extraction,single-v1-multi-turn,7.0,8,8
qwen3-4b-instruct-2507,134,2,extraction,single-v1-multi-turn,10.0,10,9
qwen3-4b-instruct-2507,135,2,extraction,single-v1-multi-turn,10.0,9,7
qwen3-4b-instruct-2507,136,2,extraction,single-v1-multi-turn,10.0,4,8
qwen3-4b-instruct-2507,137,2,extraction,single-v1-multi-turn,10.0,9,9
qwen3-4b-instruct-2507,138,2,extraction,single-v1-multi-turn,8.0,7,2
qwen3-4b-instruct-2507,139,2,extraction,single-v1-multi-turn,2.0,1,2
qwen3-4b-instruct-2507,141,2,stem,single-v1-multi-turn,10.0,7,8
qwen3-4b-instruct-2507,142,2,stem,single-v1-multi-turn,10.0,6,6
qwen3-4b-instruct-2507,143,2,stem,single-v1-multi-turn,9.0,7,4
qwen3-4b-instruct-2507,144,2,stem,single-v1-multi-turn,10.0,3,3
qwen3-4b-instruct-2507,145,2,stem,single-v1-multi-turn,10.0,8,9
qwen3-4b-instruct-2507,146,2,stem,single-v1-multi-turn,10.0,7,9
qwen3-4b-instruct-2507,147,2,stem,single-v1-multi-turn,9.0,5,3
qwen3-4b-instruct-2507,148,2,stem,single-v1-multi-turn,10.0,5,7
qwen3-4b-instruct-2507,149,2,stem,single-v1-multi-turn,10.0,8,8
qwen3-4b-instruct-2507,150,2,stem,single-v1-multi-turn,10.0,7,8
qwen3-4b-instruct-2507,154,2,humanities,single-v1-multi-turn,8.0,7,4
qwen3-4b-instruct-2507,156,2,humanities,single-v1-multi-turn,10.0,4,3
qwen3-4b-instruct-2507,159,2,humanities,single-v1-multi-turn,10.0,7,6
qwen3-4b-instruct-2507,160,2,humanities,single-v1-multi-turn,10.0,8,7
qwen3-4b-instruct-2507,101,2,reasoning,single-math-v1-multi-turn,8.0,2,1
qwen3-4b-instruct-2507,102,2,reasoning,single-math-v1-multi-turn,10.0,8,8
qwen3-4b-instruct-2507,103,2,reasoning,single-math-v1-multi-turn,10.0,7,8
qwen3-4b-instruct-2507,104,2,reasoning,single-math-v1-multi-turn,3.0,3,2
qwen3-4b-instruct-2507,105,2,reasoning,single-math-v1-multi-turn,2.0,4,2
qwen3-4b-instruct-2507,106,2,reasoning,single-math-v1-multi-turn,10.0,10,9
qwen3-4b-instruct-2507,107,2,reasoning,single-math-v1-multi-turn,1.0,2,2
qwen3-4b-instruct-2507,108,2,reasoning,single-math-v1-multi-turn,10.0,7,8
qwen3-4b-instruct-2507,109,2,reasoning,single-math-v1-multi-turn,1.0,3,2
qwen3-4b-instruct-2507,110,2,reasoning,single-math-v1-multi-turn,10.0,8,7
qwen3-4b-instruct-2507,111,2,math,single-math-v1-multi-turn,1.0,9,1
qwen3-4b-instruct-2507,112,2,math,single-math-v1-multi-turn,10.0,10,10
qwen3-4b-instruct-2507,113,2,math,single-math-v1-multi-turn,2.0,2,3
qwen3-4b-instruct-2507,114,2,math,single-math-v1-multi-turn,10.0,9,9
qwen3-4b-instruct-2507,115,2,math,single-math-v1-multi-turn,8.0,9,8
qwen3-4b-instruct-2507,116,2,math,single-math-v1-multi-turn,10.0,10,10
qwen3-4b-instruct-2507,117,2,math,single-math-v1-multi-turn,10.0,10,10
qwen3-4b-instruct-2507,118,2,math,single-math-v1-multi-turn,9.0,9,10
qwen3-4b-instruct-2507,119,2,math,single-math-v1-multi-turn,10.0,10,10
qwen3-4b-instruct-2507,120,2,math,single-math-v1-multi-turn,10.0,9,9
qwen3-4b-instruct-2507,121,2,coding,single-math-v1-multi-turn,9.0,7,8
qwen3-4b-instruct-2507,122,2,coding,single-math-v1-multi-turn,10.0,9,3
qwen3-4b-instruct-2507,123,2,coding,single-math-v1-multi-turn,10.0,9,9
qwen3-4b-instruct-2507,124,2,coding,single-math-v1-multi-turn,10.0,9,9
qwen3-4b-instruct-2507,125,2,coding,single-math-v1-multi-turn,2.0,4,2
qwen3-4b-instruct-2507,126,2,coding,single-math-v1-multi-turn,10.0,7,6
qwen3-4b-instruct-2507,127,2,coding,single-math-v1-multi-turn,8.0,5,7
qwen3-4b-instruct-2507,128,2,coding,single-math-v1-multi-turn,3.0,4,2
qwen3-4b-instruct-2507,129,2,coding,single-math-v1-multi-turn,2.0,2,1
qwen3-4b-instruct-2507,130,2,coding,single-math-v1-multi-turn,8.0,8,7
